人民幣	人民幣 ￥
嬰兒標誌	嬰兒標誌 🚼
護照檢查處	護照檢查處 🛂
安檢	安檢 🛂
護照檢查	護照檢查 🛂
檢查護照	檢查護照 🛂
海關	海關 🛃
海關檢查	海關檢查 🛃
行李領取處	行李領取處 🛄
行李領取	行李領取 🛄
領取行李	領取行李 🛄
行李寄存處	行李寄存處 🛅
行李寄存	行李寄存 🛅
寄存行李	寄存行李 🛅
警告	警告 ⚠️
注意	注意 ⚠️
危險	危險 ⚠️
預警	預警 ⚠️
學童過街	學童過街 🚸
兒童過街	兒童過街 🚸
注意兒童	注意兒童 🚸
當心兒童	當心兒童 🚸
禁止駛入	禁止駛入 ⛔
禁止通行	禁止通行 ⛔
請勿入內	請勿入內 ⛔
請勿駛入	請勿駛入 ⛔
禁止	禁止 🚫 🈲
嚴禁	嚴禁 🚫 🈲
不準	不準 🚫
不許	不許 🚫
禁止騎車	禁止騎車 🚳
禁止騎行	禁止騎行 🚳
禁止自行車	禁止自行車 🚳
禁止吸菸	禁止吸菸 🚭
請勿吸菸	請勿吸菸 🚭
禁菸	禁菸 🚭
勿扔垃圾	勿扔垃圾 🚯
勿丟垃圾	勿丟垃圾 🚯
請勿亂丟垃圾	請勿亂丟垃圾 🚯
請勿亂扔垃圾	請勿亂扔垃圾 🚯
禁丟垃圾	禁丟垃圾 🚯
禁止扔垃圾	禁止扔垃圾 🚯
禁止丟垃圾	禁止丟垃圾 🚯
禁止亂扔垃圾	禁止亂扔垃圾 🚯
禁止亂丟垃圾	禁止亂丟垃圾 🚯
非飲用水	非飲用水 🚱
請勿飲用	請勿飲用 🚱
禁止行人	禁止行人 🚷
禁止行人通行	禁止行人通行 🚷
禁止使用手機	禁止使用手機 📵
禁止打電話	禁止打電話 📵
十八禁	十八禁 🔞
未成年	未成年 🔞
未成年不宜	未成年不宜 🔞
成人	成人 🔞
放射性	放射性 ☢️
輻射	輻射 ☢️
生物危害	生物危害 ☣️
生化危機	生化危機 ☣️
上	上 ⬆️ ↑
上箭頭	上箭頭 ⬆️ ↑
向上箭頭	向上箭頭 ⬆️
右上	右上 ↗️ ↗
右上箭頭	右上箭頭 ↗️ ↗
右	右 ➡️ →
右箭頭	右箭頭 ➡️ →
向右箭頭	向右箭頭 ➡️
右下	右下 ↘️ ↘
右下箭頭	右下箭頭 ↘️ ↘
下	下 ⬇️ ↓
下箭頭	下箭頭 ⬇️ ↓
向下箭頭	向下箭頭 ⬇️
左下	左下 ↙️ ↙
左下箭頭	左下箭頭 ↙️ ↙
左	左 ⬅️ ←
左箭頭	左箭頭 ⬅️ ←
向左箭頭	向左箭頭 ⬅️
左上	左上 ↖️ ↖
左上箭頭	左上箭頭 ↖️ ↖
上下	上下 ↕️ ↕
上下箭頭	上下箭頭 ↕️ ↕
左右	左右 ↔️ ↔︎
左右箭頭	左右箭頭 ↔️ ↔︎
回車	回車 ↩️
重新載入	重新載入 🔃
順時針	順時針 🔃
順時針方向	順時針方向 🔃
順時針垂直箭頭	順時針垂直箭頭 🔃
逆時針	逆時針 🔄
逆時針方向	逆時針方向 🔄
逆時針垂直箭頭	逆時針垂直箭頭 🔄
back	back 🔙
退回	退回 🔙
end	end 🔚
結束	結束 🔚
on	on 🔛
開啓	開啓 🔛
soon	soon 🔜
馬上	馬上 🔜
top	top 🔝
禱告	禱告 🛐
原子符號	原子符號 ⚛️
原子	原子 ⚛️
Atom	Atom ⚛️
atom	atom ⚛️
奧姆	奧姆 🕉
奧姆符號	奧姆符號 🕉
大衛之星	大衛之星 ✡️
法輪	法輪 ☸️
太極	太極 ☯️
陰陽	陰陽 ☯️
十字架	十字架 ✝️
基督	基督 ✝️
基督教	基督教 ✝️
東正教	東正教 ☦️
東正教十字架	東正教十字架 ☦️
星月	星月 ☪️
和平	和平 ☮️
和平符號	和平符號 ☮️
和平標誌	和平標誌 ☮️
世界和平	世界和平 ☮️
peace	peace ☮️
光明節	光明節 🕎
六角星	六角星 🔯
六芒星	六芒星 🔯
魔法陣	魔法陣 🔯
錫克	錫克 🪯
錫克教	錫克教 🪯
坎達	坎達 🪯
坎達符號	坎達符號 🪯
白羊座	白羊座 ♈
金牛座	金牛座 ♉
雙子座	雙子座 ♊
巨蟹座	巨蟹座 ♋
獅子座	獅子座 ♌
處女座	處女座 ♍
天秤座	天秤座 ♎
天蠍座	天蠍座 ♏
射手座	射手座 ♐
摩羯座	摩羯座 ♑
水瓶座	水瓶座 ♒
雙魚座	雙魚座 ♓
蛇夫座	蛇夫座 ⛎
隨機播放	隨機播放 🔀
隨機	隨機 🔀
循環播放	循環播放 🔁
單曲循環	單曲循環 🔂
播放	播放 ▶️
開始播放	開始播放 ▶️
快進	快進 ⏩
快進符號	快進符號 ⏩
下一首	下一首 ⏭️
播放暫停	播放暫停 ⏯️
倒退	倒退 ◀️
倒退按鈕	倒退按鈕 ◀️
快退	快退 ⏪
快退符號	快退符號 ⏪
上一首	上一首 ⏮️
上三角	上三角 🔼
調高	調高 🔼
快上	快上 ⏫
下三角	下三角 🔽
調低	調低 🔽
快下	快下 ⏬
暫停	暫停 ⏸️
停止	停止 ⏹️
錄音	錄音 ⏺️
錄音按鈕	錄音按鈕 ⏺️
開始錄音	開始錄音 ⏺️
錄像	錄像 ⏺️
錄像按鈕	錄像按鈕 ⏺️
開始錄像	開始錄像 ⏺️
彈出	彈出 ⏏️
推出	推出 ⏏️
彈出按鈕	彈出按鈕 ⏏️
推出按鈕	推出按鈕 ⏏️
電影院	電影院 🎦
亮度	亮度 🔅 🔆
亮度低	亮度低 🔅
低亮度	低亮度 🔅
亮度高	亮度高 🔆
高亮度	高亮度 🔆
信號強度條	信號強度條 📶
信號強度	信號強度 📶
信號	信號 📶
手機信號	手機信號 📶
wireless	wireless 🛜
WiFi	WiFi 🛜
Wi-Fi	Wi-Fi 🛜
無線局域網	無線局域網 🛜
無線網	無線網 🛜
無線網絡	無線網絡 🛜
震動	震動 📳
振動模式	振動模式 📳
關機	關機 📴
手機關機	手機關機 📴
關閉手機	關閉手機 📴
女	女 ♀
女性	女性 ♀
男	男 ♂
男性	男性 ♂
跨性別	跨性別 ⚧ 🏳️‍⚧️
跨性別符號	跨性別符號 ⚧
變性	變性 ⚧
乘	乘 ✖️
乘以	乘以 ✖️
乘號	乘號 ✖️
加	加 ➕
加號	加號 ➕
減	減 ➖
減號	減號 ➖
除	除 ➗
除以	除以 ➗
除號	除號 ➗
等於	等於 🟰
等號	等號 🟰
等於號	等於號 🟰
粗等號	粗等號 🟰
雙感嘆號	雙感嘆號 ‼️
雙驚歎號	雙驚歎號 ‼️
雙歎號	雙歎號 ‼️
倆歎號	倆歎號 ‼️
疑問驚歎號	疑問驚歎號 ⁉️
疑問驚歎	疑問驚歎 ⁉️
嘆問號	嘆問號 ⁉️
歎號問號	歎號問號 ⁉️
感嘆號問號	感嘆號問號 ⁉️
驚問	驚問 ⁉️
問號	問號 ❓ ❔
白色問號	白色問號 ❔
白問號	白問號 ❔
感嘆號	感嘆號 ❗ ❕
驚歎號	驚歎號 ❗ ❕
歎號	歎號 ❗ ❕
白色感嘆號	白色感嘆號 ❕
白色驚歎號	白色驚歎號 ❕
白色歎號	白色歎號 ❕
白感嘆號	白感嘆號 ❕
白驚歎號	白驚歎號 ❕
白歎號	白歎號 ❕
波浪型破折號	波浪型破折號 〰️
波浪線	波浪線 〰️
兌換	兌換 💱
外匯	外匯 💱
換匯	換匯 💱
匯率	匯率 💱
流通	流通 💱
貨幣兌換	貨幣兌換 💱
出國	出國 💱
粗美元符號	粗美元符號 💲
貨幣	貨幣 💲
金錢	金錢 💲
價錢	價錢 💲
醫療標誌	醫療標誌 ⚕
醫療符號	醫療符號 ⚕
蛇杖	蛇杖 ⚕
阿斯克勒庇俄斯	阿斯克勒庇俄斯 ⚕
單蛇之杖	單蛇之杖 ⚕
環保	環保 ♻️
循環	循環 ♻️
循環再生	循環再生 ♻️
循環利用	循環利用 ♻️
回收	回收 ♻️
百合花飾	百合花飾 ⚜️
百合花	百合花 ⚜️
鳶尾花	鳶尾花 ⚜️
三叉戟	三叉戟 🔱
三叉戟標誌	三叉戟標誌 🔱
姓名牌	姓名牌 📛
日本新手駕駛標誌	日本新手駕駛標誌 🔰
日本初學者標誌	日本初學者標誌 🔰
對	對 ⭕ ✅ ✔
正確	正確 ⭕ ✅ ✔
圓圈	圓圈 ⭕
對號	對號 ✅ ✔
對鉤	對鉤 ✅ ✔
勾選	勾選 ✅ ✔
按鈕	按鈕 ☑️ 🔘
複選	複選 ☑️
複選框	複選框 ☑️
複選按鈕	複選按鈕 ☑️
打鉤	打鉤 ☑️
打對鉤	打對鉤 ☑️
錯	錯 ❌ ❎
錯號	錯號 ❌ ❎
錯誤	錯誤 ❌ ❎
叉	叉 ❌ ❎
叉叉	叉叉 ❌ ❎
畫叉	畫叉 ❌ ❎
捲曲環	捲曲環 ➰
雙捲曲環	雙捲曲環 ➿
歌記號	歌記號 〽️
八輪輻星號	八輪輻星號 ✳️
八角星	八角星 ✴️
版權	版權 ©
版權符號	版權符號 ©
Copyright	Copyright ©
註冊	註冊 ®
註冊標記	註冊標記 ®
註冊商標符號	註冊商標符號 ®
註冊商標	註冊商標 ®
Registered	Registered ®
商標	商標 ™
商標符號	商標符號 ™
TM	TM ™
井號	井號 #️⃣
井號鍵	井號鍵 #️⃣
星號	星號 *️⃣
星號鍵	星號鍵 *️⃣
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
十	十 🔟
ABCD	ABCD 🔠
英文	英文 🔠 🔡
英語	英語 🔠 🔡
拉丁文	拉丁文 🔠 🔡
大寫	大寫 🔠
英文大寫	英文大寫 🔠
大寫字母	大寫字母 🔠
abcd	abcd 🔡
小寫	小寫 🔡
英文小寫	英文小寫 🔡
小寫字母	小寫字母 🔡
數字	數字 🔢
一二三四	一二三四 🔢
符號	符號 🔣
字符	字符 🔣
abc	abc 🔤
血型	血型 🅰️ 🆎 🅱️ 🅾️
A	A 🅰️
A型	A型 🅰️
A型血	A型血 🅰️
A血型	A血型 🅰️
AB	AB 🆎
AB型	AB型 🆎
AB型血	AB型血 🆎
AB血型	AB血型 🆎
B	B 🅱️
B型	B型 🅱️
B型血	B型血 🅱️
B血型	B血型 🅱️
O	O 🅾️
O型	O型 🅾️
O型血	O型血 🅾️
O血型	O血型 🅾️
清除	清除 🆑
清理	清理 🆑
clear	clear 🆑
cool	cool 🆒
酷	酷 🆒
超酷	超酷 🆒
很酷	很酷 🆒
特別酷	特別酷 🆒
free	free 🆓
免費	免費 🆓
自由	自由 🆓
資訊	資訊 ℹ️
info	info ℹ️
information	information ℹ️
身份	身份 🆔
new	new 🆕
新	新 🆕
新的	新的 🆕
新建	新建 🆕
NG	NG 🆖
重拍	重拍 🆖
停車	停車 🅿️
停車場	停車場 🅿️
停車按鈕	停車按鈕 🅿️
泊車	泊車 🅿️
parking	parking 🅿️
SOS	SOS 🆘
求救信號	求救信號 🆘
求救訊號	求救訊號 🆘
救命	救命 🆘
救我	救我 🆘
救救我	救救我 🆘
求救	求救 🆘
up	up 🆙
頂	頂 🆙
升級	升級 🆙
Vs.	Vs. 🆚
比	比 🆚
對決	對決 🆚
對抗	對抗 🆚
對戰	對戰 🆚
比賽	比賽 🆚
這裏	這裏 🈁
服務費	服務費 🈂️
月	月 🈷️
有	有 🈶
有料	有料 🈶
收費	收費 🈶
指	指 🈯
得	得 🉐
討價還價	討價還價 🉐
割	割 🈹
打折	打折 🈹
無	無 🈚️
沒有	沒有 🈚️
禁	禁 🈲
可	可 🉑
申	申 🈸
申請	申請 🈸
合	合 🈴
合格	合格 🈴
空	空 🈳
空位	空位 🈳
祝	祝 ㊗️
祝福	祝福 ㊗️
祕	祕 ㊙️
營	營 🈺
營業	營業 🈺
開門營業	開門營業 🈺
滿	滿 🈵
滿座	滿座 🈵
滿了	滿了 🈵
沒有空位	沒有空位 🈵
紅色	紅色 🔴 🟥
橙色	橙色 🟠 🟧
橘色	橘色 🟠 🟧
橘黃色	橘黃色 🟠 🟧
黃色	黃色 🟡 🟨
綠色	綠色 🟢 🟩
藍色	藍色 🔵 🟦
紫色	紫色 🟣 🟪
棕色	棕色 🟤 🟫
圓形	圓形 ⚫ ⚪
圍棋	圍棋 ⚫ ⚪
黑白棋	黑白棋 ⚫ ⚪
黑色	黑色 ⚫ ⬛
黑子	黑子 ⚫
黑棋	黑棋 ⚫
黑點	黑點 ⚫
小黑點	小黑點 ⚫
小黑點兒	小黑點兒 ⚫
白色	白色 ⚪ ⬜
白子	白子 ⚪
白棋	白棋 ⚪
白點	白點 ⚪
小白點	小白點 ⚪
小白點兒	小白點兒 ⚪
元宵	元宵 ⚪
湯圓	湯圓 ⚪
雪球	雪球 ⚪
正方形	正方形 ⬛ ⬜
方塊	方塊 ⬛ ⬜
方形	方形 ⬛ ⬜
矩形	矩形 ⬛ ⬜
黑框	黑框 ⬛
小黑框	小黑框 ⬛
白框	白框 ⬜
小白框	小白框 ⬜
中方塊	中方塊 ◼ ◻
中正方形	中正方形 ◼ ◻
白色中方塊	白色中方塊 ◼
中等方塊	中等方塊 ◼ ◻
中等正方形	中等正方形 ◼ ◻
白色中等方塊	白色中等方塊 ◼
黑色中方塊	黑色中方塊 ◻
黑色中等方塊	黑色中等方塊 ◻
大方塊	大方塊 ◾ ◽
大正方形	大正方形 ◾ ◽
白色大方塊	白色大方塊 ◾
黑色大方塊	黑色大方塊 ◽
小方塊	小方塊 ▪ ▫
小正方形	小正方形 ▪ ▫
白色小方塊	白色小方塊 ▪
黑色小方塊	黑色小方塊 ▫
菱形	菱形 🔶 🔷
大菱形	大菱形 🔶 🔷
橙色菱形	橙色菱形 🔶
橘色菱形	橘色菱形 🔶
橘黃色菱形	橘黃色菱形 🔶
橙色大菱形	橙色大菱形 🔶
橘色大菱形	橘色大菱形 🔶
橘黃色大菱形	橘黃色大菱形 🔶
藍色菱形	藍色菱形 🔷
藍色大菱形	藍色大菱形 🔷
小方片	小方片 🔸 🔹
小菱形	小菱形 🔸 🔹
橙色小菱形	橙色小菱形 🔸
橘色小菱形	橘色小菱形 🔸
橘黃色小菱形	橘黃色小菱形 🔸
藍色小菱形	藍色小菱形 🔹
三角	三角 🔺 🔻
三角形	三角形 🔺 🔻
正三角	正三角 🔺
紅色正三角	紅色正三角 🔺
倒三角	倒三角 🔻
紅色倒三角	紅色倒三角 🔻
單選	單選 🔘
單選框	單選框 🔘
單選按鈕	單選按鈕 🔘
方形按鈕	方形按鈕 🔳 🔲
白線方形按鈕	白線方形按鈕 🔳
白線正方形按鈕	白線正方形按鈕 🔳
白色方形按鈕	白色方形按鈕 🔳
白色正方形按鈕	白色正方形按鈕 🔳
白邊線方形按鈕	白邊線方形按鈕 🔳
白邊線正方形按鈕	白邊線正方形按鈕 🔳
黑線方形按鈕	黑線方形按鈕 🔲
黑線正方形按鈕	黑線正方形按鈕 🔲
黑色方形按鈕	黑色方形按鈕 🔲
黑色正方形按鈕	黑色正方形按鈕 🔲
黑邊線方形按鈕	黑邊線方形按鈕 🔲
黑邊線正方形按鈕	黑邊線正方形按鈕 🔲
格子旗	格子旗 🏁
終點旗	終點旗 🏁
終點	終點 🏁
旗幟	旗幟 🚩
旗子	旗子 🚩
三角旗	三角旗 🚩
旗杆上的三角旗	旗杆上的三角旗 🚩
旗杆上的旗幟	旗杆上的旗幟 🚩
紅色旗幟	紅色旗幟 🚩
交叉旗	交叉旗 🎌
舉黑旗	舉黑旗 🏴
黑旗	黑旗 🏴
黑色旗	黑色旗 🏴
黑色旗子	黑色旗子 🏴
黑色旗幟	黑色旗幟 🏴
舉白旗	舉白旗 🏳
白旗	白旗 🏳
白色旗子	白色旗子 🏳
白色旗幟	白色旗幟 🏳
認輸	認輸 🏳
認輸了	認輸了 🏳
投降	投降 🏳
同性旗	同性旗 🏳️‍🌈
彩虹旗	彩虹旗 🏳️‍🌈
跨性別旗	跨性別旗 🏳️‍⚧️
海盜	海盜 🏴‍☠️
海盜旗	海盜旗 🏴‍☠️
海賊	海賊 🏴‍☠️
海賊旗	海賊旗 🏴‍☠️
阿森松島	阿森松島 🇦🇨
阿森松	阿森松 🇦🇨
安道爾	安道爾 🇦🇩
安道爾公國	安道爾公國 🇦🇩
阿拉伯聯合酋長國	阿拉伯聯合酋長國 🇦🇪
阿拉伯	阿拉伯 🇦🇪
阿富汗	阿富汗 🇦🇫
安提瓜和巴布達	安提瓜和巴布達 🇦🇬
安巴	安巴 🇦🇬
安圭拉	安圭拉 🇦🇮
阿爾巴尼亞	阿爾巴尼亞 🇦🇱
阿爾巴尼亞共和國	阿爾巴尼亞共和國 🇦🇱
亞美尼亞	亞美尼亞 🇦🇲
亞美尼亞共和國	亞美尼亞共和國 🇦🇲
安哥拉	安哥拉 🇦🇴
安哥拉共和國	安哥拉共和國 🇦🇴
南極洲	南極洲 🇦🇶
阿根廷	阿根廷 🇦🇷
阿根廷共和國	阿根廷共和國 🇦🇷
美屬薩摩亞	美屬薩摩亞 🇦🇸
東薩摩亞	東薩摩亞 🇦🇸
奧地利	奧地利 🇦🇹
奧地利共和國	奧地利共和國 🇦🇹
澳大利亞	澳大利亞 🇦🇺
澳大利亞聯邦	澳大利亞聯邦 🇦🇺
阿魯巴	阿魯巴 🇦🇼
奧蘭	奧蘭 🇦🇽
奧蘭羣島	奧蘭羣島 🇦🇽
阿赫韋南馬	阿赫韋南馬 🇦🇽
阿塞拜疆	阿塞拜疆 🇦🇿
阿塞拜疆共和國	阿塞拜疆共和國 🇦🇿
波斯尼亞和黑塞哥維那	波斯尼亞和黑塞哥維那 🇧🇦
波黑	波黑 🇧🇦
巴巴多斯	巴巴多斯 🇧🇧
孟加拉國	孟加拉國 🇧🇩
孟加拉	孟加拉 🇧🇩
比利時	比利時 🇧🇪
比利時王國	比利時王國 🇧🇪
布基納法索	布基納法索 🇧🇫
保加利亞	保加利亞 🇧🇬
保加利亞共和國	保加利亞共和國 🇧🇬
巴林	巴林 🇧🇭
巴林王國	巴林王國 🇧🇭
布隆迪	布隆迪 🇧🇮
布隆迪共和國	布隆迪共和國 🇧🇮
貝寧	貝寧 🇧🇯
貝寧共和國	貝寧共和國 🇧🇯
聖巴泰勒米	聖巴泰勒米 🇧🇱
百慕大	百慕大 🇧🇲
文萊	文萊 🇧🇳
文萊達魯薩蘭國	文萊達魯薩蘭國 🇧🇳
玻利維亞	玻利維亞 🇧🇴
玻利維亞國	玻利維亞國 🇧🇴
多民族玻利維亞國	多民族玻利維亞國 🇧🇴
荷屬加勒比區	荷屬加勒比區 🇧🇶
巴西	巴西 🇧🇷
巴西聯邦	巴西聯邦 🇧🇷
巴西聯邦共和國	巴西聯邦共和國 🇧🇷
巴哈馬	巴哈馬 🇧🇸
巴哈馬國	巴哈馬國 🇧🇸
不丹	不丹 🇧🇹
不丹王國	不丹王國 🇧🇹
布韋島	布韋島 🇧🇻
博茨瓦納	博茨瓦納 🇧🇼
博茨瓦納共和國	博茨瓦納共和國 🇧🇼
白俄羅斯	白俄羅斯 🇧🇾
白俄	白俄 🇧🇾
伯利茲	伯利茲 🇧🇿
加拿大	加拿大 🇨🇦
科科斯（基林）羣島	科科斯（基林）羣島 🇨🇨
科科斯	科科斯 🇨🇨
剛果（金）	剛果（金） 🇨🇩
剛果	剛果 🇨🇩 🇨🇬
剛果金	剛果金 🇨🇩
中非共和國	中非共和國 🇨🇫
中非	中非 🇨🇫
剛果（布）	剛果（布） 🇨🇬
剛果布	剛果布 🇨🇬
瑞士	瑞士 🇨🇭
瑞士聯邦	瑞士聯邦 🇨🇭
科特迪瓦	科特迪瓦 🇨🇮
科特迪瓦共和國	科特迪瓦共和國 🇨🇮
庫克羣島	庫克羣島 🇨🇰
智利	智利 🇨🇱
智利共和國	智利共和國 🇨🇱
喀麥隆	喀麥隆 🇨🇲
喀麥隆共和國	喀麥隆共和國 🇨🇲
中國	中國 🇨🇳
中華人民共和國	中華人民共和國 🇨🇳
五星紅旗	五星紅旗 🇨🇳
紅旗	紅旗 🇨🇳
哥倫比亞	哥倫比亞 🇨🇴
哥倫比亞共和國	哥倫比亞共和國 🇨🇴
克利珀頓島	克利珀頓島 🇨🇵
哥斯達黎加	哥斯達黎加 🇨🇷
哥斯達黎加共和國	哥斯達黎加共和國 🇨🇷
古巴	古巴 🇨🇺
古巴共和國	古巴共和國 🇨🇺
佛得角	佛得角 🇨🇻
佛得角共和國	佛得角共和國 🇨🇻
庫拉索	庫拉索 🇨🇼
聖誕島	聖誕島 🇨🇽
塞浦路斯	塞浦路斯 🇨🇾
塞浦路斯共和國	塞浦路斯共和國 🇨🇾
捷克	捷克 🇨🇿
捷克共和國	捷克共和國 🇨🇿
德國	德國 🇩🇪
德意志	德意志 🇩🇪
德意志聯邦共和國	德意志聯邦共和國 🇩🇪
德意志聯邦	德意志聯邦 🇩🇪
迪戈加西亞島	迪戈加西亞島 🇩🇬
吉布提	吉布提 🇩🇯
吉布提共和國	吉布提共和國 🇩🇯
丹麥	丹麥 🇩🇰
多米尼克	多米尼克 🇩🇲
多米尼克國	多米尼克國 🇩🇲
多米尼加共和國	多米尼加共和國 🇩🇴
阿爾及利亞	阿爾及利亞 🇩🇿
阿爾及利亞民主人民共和國	阿爾及利亞民主人民共和國 🇩🇿
休達及梅利利亞	休達及梅利利亞 🇪🇦
休達和梅利利亞	休達和梅利利亞 🇪🇦
休達	休達 🇪🇦
梅利利亞	梅利利亞 🇪🇦
厄瓜多爾	厄瓜多爾 🇪🇨
厄瓜多爾共和國	厄瓜多爾共和國 🇪🇨
愛沙尼亞	愛沙尼亞 🇪🇪
愛沙尼亞共和國	愛沙尼亞共和國 🇪🇪
埃及	埃及 🇪🇬
西撒哈拉	西撒哈拉 🇪🇭
厄立特里亞	厄立特里亞 🇪🇷
厄立特里亞國	厄立特里亞國 🇪🇷
西班牙	西班牙 🇪🇸
西班牙王國	西班牙王國 🇪🇸
埃塞俄比亞	埃塞俄比亞 🇪🇹
埃塞俄比亞聯邦民主共和國	埃塞俄比亞聯邦民主共和國 🇪🇹
歐盟	歐盟 🇪🇺
歐洲聯盟	歐洲聯盟 🇪🇺
芬蘭	芬蘭 🇫🇮
芬蘭共和國	芬蘭共和國 🇫🇮
斐濟	斐濟 🇫🇯
斐濟共和國	斐濟共和國 🇫🇯
福克蘭羣島	福克蘭羣島 🇫🇰
馬爾維納斯羣島	馬爾維納斯羣島 🇫🇰
密克羅尼西亞	密克羅尼西亞 🇫🇲
法羅羣島	法羅羣島 🇫🇴
法國	法國 🇫🇷
法蘭西	法蘭西 🇫🇷
法蘭西共和國	法蘭西共和國 🇫🇷
加蓬	加蓬 🇬🇦
英國	英國 🇬🇧
英倫	英倫 🇬🇧
大不列顛及北愛爾蘭聯合王國	大不列顛及北愛爾蘭聯合王國 🇬🇧
格林納達	格林納達 🇬🇩
格魯吉亞	格魯吉亞 🇬🇪
法屬圭亞那	法屬圭亞那 🇬🇫
根西島	根西島 🇬🇬
加納	加納 🇬🇭
加納共和國	加納共和國 🇬🇭
直布羅陀	直布羅陀 🇬🇮
格陵蘭	格陵蘭 🇬🇱
岡比亞	岡比亞 🇬🇲
岡比亞共和國	岡比亞共和國 🇬🇲
幾內亞	幾內亞 🇬🇳
幾內亞共和國	幾內亞共和國 🇬🇳
瓜德羅普	瓜德羅普 🇬🇵
赤道幾內亞	赤道幾內亞 🇬🇶
希臘	希臘 🇬🇷
希臘共和國	希臘共和國 🇬🇷
南喬治亞和南桑威奇羣島	南喬治亞和南桑威奇羣島 🇬🇸
危地馬拉	危地馬拉 🇬🇹
關島	關島 🇬🇺
幾內亞比紹	幾內亞比紹 🇬🇼
幾內亞比紹共和國	幾內亞比紹共和國 🇬🇼
圭亞那	圭亞那 🇬🇾
圭亞那合作共和國	圭亞那合作共和國 🇬🇾
中國香港特別行政區	中國香港特別行政區 🇭🇰
中國香港	中國香港 🇭🇰
香港	香港 🇭🇰
香港特別行政區	香港特別行政區 🇭🇰
赫德島和麥克唐納羣島	赫德島和麥克唐納羣島 🇭🇲
洪都拉斯	洪都拉斯 🇭🇳
洪都拉斯共和國	洪都拉斯共和國 🇭🇳
克羅地亞	克羅地亞 🇭🇷
克羅地亞共和國	克羅地亞共和國 🇭🇷
海地	海地 🇭🇹
海地共和國	海地共和國 🇭🇹
匈牙利	匈牙利 🇭🇺
加納利羣島	加納利羣島 🇮🇨
印度尼西亞	印度尼西亞 🇮🇩
印度尼西亞共和國	印度尼西亞共和國 🇮🇩
愛爾蘭	愛爾蘭 🇮🇪
愛爾蘭共和國	愛爾蘭共和國 🇮🇪
以色列	以色列 🇮🇱
以色列國	以色列國 🇮🇱
馬恩島	馬恩島 🇮🇲
印度	印度 🇮🇳
印度共和國	印度共和國 🇮🇳
英屬印度洋領地	英屬印度洋領地 🇮🇴
伊拉克	伊拉克 🇮🇶
伊拉克共和國	伊拉克共和國 🇮🇶
伊朗	伊朗 🇮🇷
伊朗伊斯蘭共和國	伊朗伊斯蘭共和國 🇮🇷
冰島	冰島 🇮🇸
意大利	意大利 🇮🇹
意大利共和國	意大利共和國 🇮🇹
澤西島	澤西島 🇯🇪
澤西	澤西 🇯🇪
牙買加	牙買加 🇯🇲
約旦	約旦 🇯🇴
約旦哈希姆王國	約旦哈希姆王國 🇯🇴
日本	日本 🇯🇵
日本國	日本國 🇯🇵
肯尼亞	肯尼亞 🇰🇪
肯尼亞共和國	肯尼亞共和國 🇰🇪
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
吉爾吉斯共和國	吉爾吉斯共和國 🇰🇬
柬埔寨	柬埔寨 🇰🇭
柬埔寨王國	柬埔寨王國 🇰🇭
基里巴斯	基里巴斯 🇰🇮
基裏巴斯共和國	基裏巴斯共和國 🇰🇮
科摩羅	科摩羅 🇰🇲
科摩羅聯盟	科摩羅聯盟 🇰🇲
聖基茨和尼維斯	聖基茨和尼維斯 🇰🇳
朝鮮	朝鮮 🇰🇵
北朝鮮	北朝鮮 🇰🇵
北韓	北韓 🇰🇵
韓國	韓國 🇰🇷
南朝鮮	南朝鮮 🇰🇷
南韓	南韓 🇰🇷
科威特	科威特 🇰🇼
科威特國	科威特國 🇰🇼
開曼羣島	開曼羣島 🇰🇾
哈薩克斯坦	哈薩克斯坦 🇰🇿
哈薩克斯坦共和國	哈薩克斯坦共和國 🇰🇿
老撾	老撾 🇱🇦
老撾人民民主共和國	老撾人民民主共和國 🇱🇦
黎巴嫩	黎巴嫩 🇱🇧
黎巴嫩共和國	黎巴嫩共和國 🇱🇧
聖盧西亞	聖盧西亞 🇱🇨
列支敦士登	列支敦士登 🇱🇮
列支敦士登公國	列支敦士登公國 🇱🇮
斯里蘭卡	斯里蘭卡 🇱🇰
斯里蘭卡民主社會主義共和國	斯里蘭卡民主社會主義共和國 🇱🇰
利比里亞	利比里亞 🇱🇷
利比里亞共和國	利比里亞共和國 🇱🇷
萊索托	萊索托 🇱🇸
萊索托王國	萊索托王國 🇱🇸
立陶宛	立陶宛 🇱🇹
立陶宛共和國	立陶宛共和國 🇱🇹
盧森堡	盧森堡 🇱🇺
盧森堡大公國	盧森堡大公國 🇱🇺
拉脫維亞	拉脫維亞 🇱🇻
拉脫維亞共和國	拉脫維亞共和國 🇱🇻
利比亞	利比亞 🇱🇾
利比亞國	利比亞國 🇱🇾
摩洛哥	摩洛哥 🇲🇦
摩洛哥王國	摩洛哥王國 🇲🇦
摩納哥	摩納哥 🇲🇨
摩納哥公國	摩納哥公國 🇲🇨
摩爾多瓦	摩爾多瓦 🇲🇩
摩爾多瓦共和國	摩爾多瓦共和國 🇲🇩
